assay_component_name	technological_target_type_sub	chnm	casn	stkc	stkc_unit	apid	rowi	coli	wllt	wllq	conc	rval	srcf
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	3	6	t	1	33.33333333	1.14	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	3	7	t	1	33.33333333	1.25	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	2	6	t	1	100	0.31	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	2	7	t	1	100	0.36	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	7	8	t	1	0.205761317	0.86	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	7	9	t	1	0.205761317	0.75	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	6	9	t	1	0.617283951	0.82	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	6	8	t	1	0.617283951	0.55	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	5	8	t	1	1.851851852	0.84	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	5	9	t	1	1.851851852	0.79	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	4	8	t	1	5.555555556	0.73	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	4	9	t	1	5.555555556	0.95	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	3	8	t	1	16.66666667	1.23	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	3	9	t	1	16.66666667	1.16	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	2	8	t	1	50	1.32	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	128-95-0	50	mM	09Apr2014.Plate.16	2	9	t	1	50	1.22	2900-100644 TO3 DR 09Apr2014 Plate 16_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	2243-62-1	99.9000015258789	mM	09Apr2014.Plate.3	7	8	t	1	0.041111111	0.5	2900-100644 TO3 DR 09Apr2014 Plate 3_Cyprotex.csv
